#Time Stamp Bertram Road - Level (ft) Bertram Road - Rain Fall (in) Bertram Road – Cumul Rain Fall (in) Bertram Road - Temperature (F) Bertram Road - Temperature (F)
#1 2 3 4 5 6 7
11/30/2014 14:05  0 0  0
11/30/2014 14:10  0 0  0
11/30/2014 14:15 0.88 0 0  0
11/30/2014 14:20  0 0  0
11/30/2014 14:25  0 0  0
11/30/2014 14:30 0.88 0 0  0
11/30/2014 14:35  0 0  0
11/30/2014 14:40  0 0  0
11/30/2014 14:45 0.88 0 0  0
11/30/2014 14:50  0 0  0
11/30/2014 14:55  0 0  0
11/30/2014 15:00 0.88 0 0 74 74
11/30/2014 15:05  0 0  0
11/30/2014 15:10  0 0  0
11/30/2014 15:15 0.88 0 0  0
11/30/2014 15:20  0 0  0
11/30/2014 15:25  0 0  0
11/30/2014 15:30 0.88 0 0  0
11/30/2014 15:35  0 0  0
11/30/2014 15:40  0 0  0
11/30/2014 15:45 0.88 0 0  0
11/30/2014 15:50  0 0  0
11/30/2014 15:55  0 0  0
11/30/2014 16:00 0.88 0 0 68 68
11/30/2014 16:05  0 0  0
11/30/2014 16:10  0 0  0
11/30/2014 16:15 0.88 0 0  0
11/30/2014 16:20  0 0  0
11/30/2014 16:25  0 0  0
11/30/2014 16:30 0.88 0 0  0
11/30/2014 16:35  0 0  0
11/30/2014 16:40  0 0  0
11/30/2014 16:45 0.88 0 0  0
11/30/2014 16:50  0 0  0
11/30/2014 16:55  0 0  0
11/30/2014 17:00 0.88 0 0 61 61
11/30/2014 17:05  0 0  0
11/30/2014 17:10  0 0  0
11/30/2014 17:15 0.88 0 0  0
11/30/2014 17:20  0 0  0
11/30/2014 17:25  0 0  0
11/30/2014 17:30 0.88 0 0  0
11/30/2014 17:35  0 0  0
11/30/2014 17:40  0 0  0
11/30/2014 17:45 0.88 0 0  0
11/30/2014 17:50  0 0  0
11/30/2014 17:55  0 0  0
11/30/2014 18:00 0.88 0 0 55 55
11/30/2014 18:05  0 0  0
11/30/2014 18:10  0 0  0
11/30/2014 18:15 0.88 0 0  0
11/30/2014 18:20  0 0  0
11/30/2014 18:25  0 0  0
11/30/2014 18:30 0.88 0 0  0
11/30/2014 18:35  0 0  0
11/30/2014 18:40  0 0  0
11/30/2014 18:45 0.88 0 0  0
11/30/2014 18:50  0 0  0
11/30/2014 18:55  0 0  0
11/30/2014 19:00 0.88 0 0 51 51
11/30/2014 19:05  0 0  0
11/30/2014 19:10  0 0  0
11/30/2014 19:15 0.88 0 0  0
11/30/2014 19:20  0 0  0
11/30/2014 19:25  0 0  0
11/30/2014 19:30 0.88 0 0  0
11/30/2014 19:35  0 0  0
11/30/2014 19:40  0 0  0
11/30/2014 19:45 0.88 0 0  0
11/30/2014 19:50  0 0  0
11/30/2014 19:55  0 0  0
11/30/2014 20:00 0.88 0 0 49 49
11/30/2014 20:05  0 0  0
11/30/2014 20:10  0 0  0
11/30/2014 20:15 0.88 0 0  0
11/30/2014 20:20  0 0  0
11/30/2014 20:25  0 0  0
11/30/2014 20:30 0.88 0 0  0
11/30/2014 20:35  0 0  0
11/30/2014 20:40  0 0  0
11/30/2014 20:45 0.87 0 0  0
11/30/2014 20:50  0 0  0
11/30/2014 20:55  0 0  0
11/30/2014 21:00 0.88 0 0 47 47
11/30/2014 21:05  0 0  0
11/30/2014 21:10  0 0  0
11/30/2014 21:15 0.88 0 0  0
11/30/2014 21:20  0 0  0
11/30/2014 21:25  0 0  0
11/30/2014 21:30 0.87 0 0  0
11/30/2014 21:35  0 0  0
11/30/2014 21:40  0 0  0
11/30/2014 21:45 0.88 0 0  0
11/30/2014 21:50  0 0  0
11/30/2014 21:55  0 0  0
11/30/2014 22:00 0.88 0 0 45 45
11/30/2014 22:05  0 0  0
11/30/2014 22:10  0 0  0
11/30/2014 22:15 0.88 0 0  0
11/30/2014 22:20  0 0  0
11/30/2014 22:25  0 0  0
11/30/2014 22:30 0.87 0 0  0
11/30/2014 22:35  0 0  0
11/30/2014 22:40  0 0  0
11/30/2014 22:45 0.87 0 0  0
11/30/2014 22:50  0 0  0
11/30/2014 22:55  0 0  0
11/30/2014 23:00 0.88 0 0 44 44
11/30/2014 23:05  0 0  0
11/30/2014 23:10  0 0  0
11/30/2014 23:15 0.87 0 0  0
11/30/2014 23:20  0 0  0
11/30/2014 23:25  0 0  0
11/30/2014 23:30 0.87 0 0  0
11/30/2014 23:35  0 0  0
11/30/2014 23:40  0 0  0
11/30/2014 23:45 0.87 0 0  0
11/30/2014 23:50  0 0  0
11/30/2014 23:55  0 0  0
